Paper_ID,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Effect_size,Effect_size_type,Sample_variance,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes
Meza-Lopez_et_al_2018,,,2018,,,,,,,36.970061,-122.122983,USA,,Coleoptera,NA,NA,,,2012,2012,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NO3,5.021618366,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,-0.436722549,LogRR,0.16902954,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,44.27994741,-121.9667772,USA,,Coleoptera,NA,NA,,,2007,2010,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,2.447030544,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,1.420215702,LogRR,0.135574479,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,39.25133133,-121.3134276,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,3.201138496,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,0.111845077,LogRR,0.406304384,,,Joe,,
Meza-Lopez_et_al_2018,,,2018,,,,,,,35.527756,-121.074028,USA,,Coleoptera,NA,NA,,,2012,2012,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NO3,3.604355335,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,0.430304221,LogRR,0.182584094,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,39.4341904,-120.241059,USA,,Coleoptera,NA,NA,,,2007,2008,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,2.193597317,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,0.875577848,LogRR,0.506112379,,,Joe,,
Meza-Lopez_et_al_2018,,,2018,,,,,,,32.88122259,-117.2460887,USA,,Coleoptera,NA,NA,,,2012,2012,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NO3,6.24111414,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Calculated abundances per site, order and feeding guild",,0.58146651,LogRR,0.191556967,,,Joe,,
Grinath_2018,,,2018,,,,,,,38.719,-106.816,USA,,Coleoptera,Chrysomelidae,Monoxia,,,2010,2012,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,3.368260384,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per ant nest ID (independent samples, n = 18) calculated",,-0.222923743,LogRR,0.306659897,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,40.80719355,-104.1937236,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,3.836845398,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,-0.072708206,LogRR,0.746223505,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,39.28896195,-97.68040013,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,7.95945406,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,-0.659225839,LogRR,0.135574479,,,Joe,,
Riedell_et_al_2011,,,2011,,,,,,,44.316667,-96.766667,USA,,Coleoptera,Chrysomelidae,Cerotoma,,,1990,2006,Abundance,Individuals/m,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CH4N2O,7.285921097,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 7,,0.290216032,LogRR,0.054546819,,,Joe,,
Riedell_et_al_2011,,,2011,,,,,,,44.316667,-96.766667,USA,,Coleoptera,Chrysomelidae,Cerotoma,,,1990,2006,Abundance,Individuals/m,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CH4N2O,7.285921097,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 7,,-0.217031771,LogRR,0.054546819,,,Joe,,
Riedell_et_al_2011,,,2011,,,,,,,44.316667,-96.766667,USA,,Coleoptera,Chrysomelidae,Cerotoma,,,1990,2007,Abundance,Individuals/m,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CH4N2O,7.285921097,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 7,,0.941270997,LogRR,0.054546819,,,Joe,,
Riedell_et_al_2011,,,2011,,,,,,,44.316667,-96.766667,USA,,Coleoptera,Chrysomelidae,Cerotoma,,,1990,2007,Abundance,Individuals/m,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,CH4N2O,7.285921097,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 7,,1.421733757,LogRR,0.054546819,,,Joe,,
Callaham_et_al_2003,,,2003,,,,,,,39.083333,-96.583333,USA,,Coleoptera,Scarabaeidae,NA,,,1986,1994,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.95945406,kg/ha/yr,No N addition,0,kg/ha/yr,Figure 7,,0.858034421,LogRR,0.238129687,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,39.09304992,-96.57501073,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,7.95945406,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,0.711482523,LogRR,0.168204017,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,42.28782487,-93.68953568,USA,,Coleoptera,NA,NA,,,2009,2010,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,9.073500633,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,0.285702725,LogRR,0.129688189,,,Joe,,
Lind_et_al_2017,,,2017,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,NA,NA,,,2007,2009,Abundance,Individuals/m2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,(NH2)2CO,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Each sampling site, year, and years of treatment is a study and sample size is the number of plots.",,0.213574815,LogRR,0.184338864,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.399562088,LogRR,12.283762,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Chelonychus,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.164115774,LogRR,0.23342689,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,0.099040319,LogRR,5.011411133,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Chelonychus,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-1.011112289,LogRR,0.366337891,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.953147181,LogRR,0.994144,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Chelonychus,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.089284009,LogRR,0.348433586,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.076678443,LogRR,1.987762,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Chelonychus,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,1.367544361,LogRR,0.165132125,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.336966841,LogRR,1.04101038,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Chelonychus,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,1.859835093,LogRR,2.462180125,,,Joe,,
Strauss_1987,,,1987,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Ophraella,,,1982,1982,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NH4NO3,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Figure 1, Figure 2",,-0.509202566,LogRR,3.045680037,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Cantharidae,Chauliognathus,,,2000,2003,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,1.080480733,LogRR,0.455848665,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Coccinella,,,2000,2003,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,1.404629703,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Hippodamia,,,2000,2003,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.009167671,LogRR,0.082390673,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Anthicidae,Anthicus,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.711482523,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Anthribidae,NA,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.018335342,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Cantharidae,Chauliognathus,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.07474891,LogRR,0.383308365,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Carabidae,Lebia,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.018335342,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Diabrotica,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.674811838,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Cycloneda,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.018335342,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Hippodamia,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-1.911467953,LogRR,0.130916548,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Hyperaspis,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,1.116947631,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,NA,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.754713472,LogRR,0.424729492,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Apion,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.356375128,LogRR,0.398807303,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Lathridiidae,NA,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-1.695833889,LogRR,0.560201801,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Melyridae,Attalus,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.697512043,LogRR,0.385629665,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Phalacridae,NA,,,2000,2005,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.84065901,LogRR,0.385514329,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Anthribidae,NA,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.620166239,LogRR,0.264558296,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Cantharidae,Chauliognathus,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,1.311545451,LogRR,0.383308365,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Chrysomelidae,Pachybrachis,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.355927211,LogRR,0.397688443,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Coccinellidae,Hippodamia,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.508173462,LogRR,0.091748142,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Apion,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.868226314,LogRR,0.257976676,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Curculionidae,Rhinoncus,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,1.021220412,LogRR,0.147104016,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Lathridiidae,NA,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.862332468,LogRR,0.239720475,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Melyridae,Attalus,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,-0.355927211,LogRR,0.397688443,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Mordellidae,Mordellistena,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.018335342,LogRR,0.168204017,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Phalacridae,NA,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.430304221,LogRR,0.182584094,,,Joe,,
Knops_2015,,,2015,,,,,,,45.403004,-93.18927086,USA,,Coleoptera,Scarabaeidae,Hoplia,,,2000,2006,Abundance,Individuals,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NA,7.015356541,kg/ha/yr,No N addition,0,kg/ha/yr,"Supplementary material with raw data. Mean abundances per Family/Order/Species calculated per plot and averaged between plots, N size is the number of plots",,0.786231433,LogRR,0.343679114,,,Joe,,
