Paper_ID,Observation_ID,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Order,Family,Genus,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Evidence_type,Effect_size_type,Sample_variance_type,Aggregated,Contributor_name,Search_date,Notes,Effect_size,Sample_variance,Extracted_from,Treatment_quantity
Bakker_2010,Bakker_2010_1,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Ephemeroptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.113328685,0.176907483,Data From Authors,3.5
Bakker_2010,Bakker_2010_2,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Odonata,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.405465109,0.500000001,Data From Authors,3.5
Bakker_2010,Bakker_2010_3,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Hemiptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.405465108,0.425925926,Data From Authors,3.5
Bakker_2010,Bakker_2010_4,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Coleoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.826678573,0.306175595,Data From Authors,3.5
Bakker_2010,Bakker_2010_5,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Trichoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,1.466337068,0.23965812,Data From Authors,3.5
Bakker_2010,Bakker_2010_6,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Diptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,2.489702822,0.08269451,Data From Authors,3.5
Bakker_2010,Bakker_2010_7,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Ephemeroptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.310154928,0.331202939,Data From Authors,3.5
Bakker_2010,Bakker_2010_8,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Odonata,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.69314718,0.482993197,Data From Authors,3.5
Bakker_2010,Bakker_2010_9,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Hemiptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.405465109,1.222222223,Data From Authors,3.5
Bakker_2010,Bakker_2010_10,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Coleoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-1.673976434,0.534722222,Data From Authors,3.5
Bakker_2010,Bakker_2010_11,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Trichoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.666944808,0.204154809,Data From Authors,3.5
Bakker_2010,Bakker_2010_12,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Lepidoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.916290732,0.671666666,Data From Authors,3.5
Bakker_2010,Bakker_2010_13,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Diptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.810930216,0.550862006,Data From Authors,3.5
Bakker_2010,Bakker_2010_14,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Ephemeroptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.980829253,0.336805555,Data From Authors,3.5
Bakker_2010,Bakker_2010_15,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Odonata,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.693147181,0.566666667,Data From Authors,3.5
Bakker_2010,Bakker_2010_16,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Hemiptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.693147182,0.791666667,Data From Authors,3.5
Bakker_2010,Bakker_2010_17,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Coleoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,1.648658626,0.645483235,Data From Authors,3.5
Bakker_2010,Bakker_2010_18,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Trichoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.087011377,0.169561779,Data From Authors,3.5
Bakker_2010,Bakker_2010_19,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Lepidoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.693147178,1.666666663,Data From Authors,3.5
Bakker_2010,Bakker_2010_20,Bakker et al. ,2010,NA,NA,NA,NA,NA,NA,52.2,5.033333,Netherlands,NA,Diptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,mg/L,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.572069249,0.509784208,Data From Authors,3.5
Boege_2006,Boege_2006_1,Boege & Marquis ,2006,NA,NA,NA,NA,NA,NA,19.5,-105.05,Mexico,NA,Lepidoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.230523659,0.058408121,Data From Authors,147.8
Boege_2006,Boege_2006_2,Boege & Marquis ,2006,NA,NA,NA,NA,NA,NA,19.5,-105.05,Mexico,NA,Orthoptera,NA,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.693147184,0.741666667,Data From Authors,147.8
Bogdziewicz_2017,Bogdziewicz_2017_1,Bogdziewicz et al. ,2017,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Coleoptera,Curculionoidea,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.228207183,0.015774979,Supplimentry Material,NA
Bogdziewicz_2017,Bogdziewicz_2017_2,Bogdziewicz et al. ,2017,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Coleoptera,Curculionoidea,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.311372076,0.011720658,Supplimentry Material,NA
Braswell_2019,Braswell_2019_1,Braswell et al. ,2019,NA,NA,NA,NA,NA,NA,35.894297,-77.681164,USA,NA,Lepidoptera,Noctuidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0,0.036523009,Data From Authors,NA
Braswell_2019,Braswell_2019_2,Braswell et al. ,2019,NA,NA,NA,NA,NA,NA,35.894297,-77.681164,USA,NA,Lepidoptera,Noctuidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.041385216,0.028235308,Data From Authors,NA
Callaham_2003,Callaham_2003_1,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hemiptera,Cicadidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,P,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,1.673935183,0.914206926,Figure 6,10
Callaham_2003,Callaham_2003_2,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Coleoptera,Scarabaeidae sp. ,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,P,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.358963274,0.413763556,Figure 8,10
Callaham_2003,Callaham_2003_3,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hemiptera,Cicadidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-3.043257415,1.491068762,Figure 5,100
Callaham_2003,Callaham_2003_4,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hemiptera,Cicadidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.916283399,0.918460926,Figure 6,100
Callaham_2003,Callaham_2003_5,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Coleoptera,Scarabaeidae sp. ,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.644377016,0.176011589,Figure 8,100
Callaham_2003,Callaham_2003_6,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hemiptera,Cicadidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.001027184,1.384450677,Figure 6,110
Callaham_2003,Callaham_2003_7,Callaham et al. ,2003,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Coleoptera,Scarabaeidae sp. ,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.644377016,0.134358047,Figure 8,110
Cornelissen_2006,Cornelissen_2006_1,Cornelissen & Stiling ,2006,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hymenoptera,Cynipidae,NA,NA,NA,NA,NA,Abundance,ind/300 leaves,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.212568114,0.024551632,Figure 2,150
Cornelissen_2006,Cornelissen_2006_4,Cornelissen & Stiling ,2006,NA,NA,NA,NA,NA,NA,NA,NA,USA,NA,Hymenoptera,Cynipidae,NA,NA,NA,NA,NA,Abundance,ind/200 leaves,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.316680825,0.035360373,Figure 3,100
Cortelezzi_2015,Cortelezzi_2015_1,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Coleoptera,Hydrophilidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,2.031432322,0.059842178,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_2,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Odonata,Coenagrionidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,2.197224577,0.048197445,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_3,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Coleoptera,Elmidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,3.973431634,0.023420156,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_4,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Ephemeroptera,Baetidaeâ ,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,2.596497715,0.066306741,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_5,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Ephemeroptera,Caenidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.37128111,0.00844415,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_6,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Diptera,Ceratopogonidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-1.673153727,0.026777253,Table 2,5160
Cortelezzi_2015,Cortelezzi_2015_7,Cortelezzi et al. ,2015,NA,NA,NA,NA,NA,NA,NA,NA,Argentina,NA,Diptera,Chironomidae,NA,NA,NA,NA,NA,Abundance,ind/m^2,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,NP,g/plot,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.34369994,0.018559581,Table 2,5160
Cuesta_2008,Cuesta_2008_1,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0,2.666666667,Table 1,56
Cuesta_2008,Cuesta_2008_2,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.84729786,1.578231293,Table 1,56
Cuesta_2008,Cuesta_2008_3,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0,0.255185185,Table 1,56
Cuesta_2008,Cuesta_2008_4,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.332133835,1.029848291,Table 1,56
Cuesta_2008,Cuesta_2008_5,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.268263987,2.013404039,Table 1,56
Cuesta_2008,Cuesta_2008_6,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.779324877,1.910495874,Table 1,56
Cuesta_2008,Cuesta_2008_7,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.244196961,0.980660974,Table 1,56
Cuesta_2008,Cuesta_2008_8,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,0.646627165,2.045899801,Table 1,56
Cuesta_2008,Cuesta_2008_9,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-0.364337817,0.664496917,Table 1,56
Cuesta_2008,Cuesta_2008_10,Cuesta et al. ,2008,NA,NA,NA,NA,NA,NA,43.410619,-3.56305,Spain,NA,Coleoptera,Carabidae,NA,NA,NA,NA,NA,Abundance,ind/plot,9 Pollution,9.3 Agricultural & forestry effluents,9.3.1 Nutrient loads,N,kg/ha,No application,NA,NA,Experimental,Hedges'd,Hedges'd,NA,Joe,NA,NA,-1.203972804,1.666666667,Table 1,56
